word	Stance_favor	Stance_against
sir,	2.992699421611178e-09	-4.149042442946893e-09
aaj	-4.398938990846091e-10	1.6809058311917369e-10
kuchh	1.78223769076169e-09	-1.4130804082412851e-08
garibo	-4.417043442117574e-08	-1.2315863606726651e-10
mazdooro	-0.0018252235604450107	-3.4163821993615784e-08
kisano	-2.185542342658664e-07	-7.628356613054166e-09
ki	-2.7455204332227368e-08	1.4999843034324556e-10
garibi	-7.694496844123933e-07	-1.2011422541036154e-06
ki	-1.1079301032168587e-07	-7.253236233850657e-09
politics	4.372147976994256e-09	2.3064067322664528e-10
karne	4.094575345447993e-09	2.0637125341949059e-10
wale	4.399697495216515e-09	2.3151863759451885e-10
aapke	4.386465857209032e-09	2.3137342042289788e-10
,	-2.9855496563868655e-07	-1.3979737367719736e-09
notebandi	4.397155084490123e-09	2.2740495597695087e-10
k	4.242369122664513e-09	2.1744132883139144e-10
khilaaf	4.392175956269284e-09	2.0011910184525306e-10
hai.	-1.9859836442037704e-08	-2.203850817750208e-05
azib	-1.4080990240472602e-07	-8.080471047833271e-08
halat	-1.5873087733098146e-08	-1.357657430922643e-09
hai.	3.797924641446571e-09	2.2962604040444035e-10
.	1.2636184692382812e-05	-4.571417466792127e-09
notebandi,	1.4543533325195312e-05	-7.367218302078982e-08
ghoosbandi	-1.1920928955078125e-07	-1.3882437421841587e-09
and	5.960464477539062e-07	-1.1703357172265783e-09
nasbandi	-2.384185791015625e-07	1.1647556530380854e-10
door	-2.384185791015625e-07	-1.4064018005743861e-10
kar	2.384185791015625e-07	1.7915607886109797e-10
degi	-2.384185791015625e-07	1.789172976440767e-10
desh	0.9998431205749512	-1.1765631802163057e-09
ki	-2.384185791015625e-07	-1.9394472139389052e-11
gandagi.	0.004651248455047607	-1.876535407063784e-07
jaise	-0.0009612809517420828	-1.6782292888706252e-08
notebandi	-0.00014028261648491025	-5.991254852233396e-07
nahi	0.0001894376619020477	-2.466746593654534e-07
unki	-0.00511676911264658	-4.670464903711036e-09
nasbandi	-0.003517197212204337	-2.3654458800592693e-06
kardi	0.00020812705042771995	-2.117374720000953e-07
ho	8.683910709805787e-05	-1.0887850621088546e-08
modiji	-0.0005905271973460913	2.7288020731930374e-09
ne	0.0003411335637792945	-4.7032312977535184e-07
://twitter.com/anuraagmuskaan/status/	0.00035468285204842687	3.690385774746119e-09
…	-0.0001152837066911161	-7.392351335511194e-07
sir	0.0	-1.543175032203692e-09
aap	0.0	-1.1281940937024615e-09
to	0.0	5.686513482316968e-10
against	1.0728836059570312e-06	-2.4913626717193438e-09
corruption	8.821487426757812e-06	-1.94810283460356e-08
ke	3.147125244140625e-05	-1.7866324242277187e-07
biradri	3.2186508178710938e-06	5.412406078875165e-10
wale	1.1920928955078125e-07	3.2878536004865566e-10
ho	1.1920928955078125e-07	2.70511502087345e-10
to	1.1920928955078125e-07	5.722688434239842e-10
modi	8.225440979003906e-06	-1.2119577377234236e-06
ka	0.0	3.164313255865636e-11
birodh	0.9003244638442993	-0.8998770713806152
kyo	3.2186508178710938e-06	5.45168743482094e-10
kar	1.1920928955078125e-07	-1.7420763498421366e-08
rahe	3.5762786865234375e-07	5.584629980681655e-10
ho.	0.0	3.3453961822971223e-10
notebandi	1.0728836059570312e-06	-6.270576502487302e-09
wale	4.291534423828125e-06	-5.6287512428809805e-09
kam	3.337860107421875e-06	-4.366889072571212e-09
ka	3.5762786865234375e-07	-1.7070048485834377e-08
to	0.0	-1.1524546872365704e-09
samarthan	1.9073486328125e-05	-5.597454943995217e-09
karo.	1.1920928955078125e-07	-4.667755071352531e-10
congres	0.046327054500579834	-3.4716023833425425e-08
ki	0.07409769296646118	-8.603817036600958e-08
nasbandi	0.05378454923629761	-3.972298543430952e-07
aur	0.0005677342414855957	9.249001564626269e-09
modi	0.1769881248474121	-4.878997401647212e-07
ji	0.6831589937210083	-2.382107140874723e-06
ki	0.004533648490905762	-2.36985595591932e-08
notebandi	0.04289102554321289	7.380958066960375e-10
fark	0.9965600967407227	-1.364565065387069e-07
saf	0.5719015002250671	-1.0988705980707891e-05
he	0.04839193820953369	-2.0188468624837697e-05
aap	0.016754627227783203	-3.0047175414438243e-07
gaye	-0.0031918883323669434	-2.2524067944118542e-08
japan	-0.0026126503944396973	-1.6962623305971647e-08
yaha	-0.0031818747520446777	8.415723229404648e-09
halak	-0.0026502609252929688	-5.842588635118773e-09
me	0.006338596343994141	-9.141942314272455e-08
jan	-0.0019726157188415527	3.4505918122818002e-09
meri	-2.5331974029541016e-05	-2.448670954890986e-07
nahi	-0.0006446242332458496	-3.888099797677569e-08
mehalo	-0.0030035972595214844	-1.9909860426992054e-09
walo	-0.002045869827270508	-2.2396227095100585e-08
ki	-0.0011420845985412598	-9.026429381719936e-09
sir	-0.00027865171432495117	-3.333266107574673e-08
aap	0.0002021193504333496	3.903076972733288e-09
great	-0.0010306239128112793	-1.2915073455133097e-08
ho	-0.0006514191627502441	-8.229850578800324e-09
kabhi	0.0017559528350830078	-0.0004193695785943419
kabhi	0.0017715096473693848	-0.0013801022432744503
sher	0.000359952449798584	-0.000360864563845098
ka	0.0003141164779663086	-0.00028743158327415586
shikar	0.05839526653289795	-0.00014704644854646176
karne	0.0009487271308898926	-0.0001404544891556725
ke	0.0015177726745605469	-0.0002092334907501936
liye	2.0503997802734375e-05	-2.5631499738665298e-05
bhed	0.007650792598724365	-0.00018384793656878173
(aam	0.8930683732032776	-2.606390989967622e-05
janta)	0.0010319948196411133	-7.768541399855167e-05
ko	0.002101004123687744	-8.002515824045986e-05
chara	0.0035670995712280273	1.4155339158605784e-06
banana	0.0009905695915222168	-0.00025904818903654814
padta	0.00016933679580688477	2.4502867745468393e-05
hai.	0.0008823275566101074	-0.00016612044419161975
ye	1.1920928955078125e-07	-1.0665156224831662e-07
notebandi	7.152557373046875e-07	-5.570668690779712e-07
atankbaadiyo	9.5367431640625e-07	-6.329315169750771e-07
aur	0.0	1.3360503814396907e-08
bharashtachaariyo	1.1920928955078125e-07	2.6143442966031216e-08
ki	0.0	2.895625073051633e-08
nakebandi	0.0	2.683460031960294e-08
hai.	2.384185791015625e-07	-6.939471575151401e-08
sare	7.152557373046875e-07	-5.114868031341757e-07
rashtrabhakta	0.0	2.5890201982292638e-08
is	0.0	2.174481750216728e-08
nakebandi	9.5367431640625e-07	-7.318910206777218e-07
ke	2.384185791015625e-07	-1.2778758673448465e-07
sath	0.21697485446929932	-0.047644637525081635
aur	2.384185791015625e-07	-4.2685364576300344e-08
samarthan	0.9792476296424866	-0.0001575719506945461
me	2.0265579223632812e-06	-6.945464292584802e-07
aye.	1.1920928955078125e-07	-8.54128074934124e-08
bechare	2.3333150522830692e-07	-2.810982024925579e-08
ko	-2.3783849201208795e-07	-5.497522437281077e-10
cocaine	-1.2937854307892849e-06	-6.763285043120959e-09
leni	1.0613442213980306e-07	1.88127347033884e-10
hai	-1.0976615158142522e-05	1.1061852128735339e-10
koi	-1.138026277658355e-06	-1.025233342666354e-09
k	-4.930301429340034e-07	-2.316913605415749e-10
note	-9.634304660721682e-07	1.268624649775063e-10
le	-2.8202148314449005e-05	1.2289783080099426e-10
nahi	2.1208049361121084e-07	-6.853442813259392e-10
raha	3.9076462599041406e-07	1.8737246476607794e-10
aana	-2.477553607604932e-06	-2.6714757073165174e-09
hi	3.532912558057433e-07	2.0661754251971587e-10
pada	-1.0199179087067023e-05	-3.8368164201330046e-10
bank	-5.6335102271987125e-06	-1.1482352846314825e-08
://twitter.com/cnnnews/status/	-0.0004678385448642075	-2.8545755981213006e-07
…	1.8288233150087763e-08	-9.701608405521256e-10
ek	-9.384531551859254e-08	1.1920928955078125e-07
baar	-2.1935886707069585e-07	3.5762786865234375e-06
aam	3.2143727679567746e-09	0.00010609626770019531
aadmi	1.0885615076006161e-08	4.76837158203125e-07
ki	-2.810952537402045e-07	1.7881393432617188e-06
life	6.56475140914381e-09	0.0
jee	-1.7528560647406266e-06	6.091594696044922e-05
kar	1.2001028615316045e-08	0.0
dekho	1.2614315814118982e-08	0.0
kitni	-1.3336057236301713e-07	1.9073486328125e-06
taklif	-6.549298063873721e-07	7.152557373046875e-07
ka	-3.298831074971531e-08	1.1920928955078125e-07
samna	-2.3552277639282693e-07	2.384185791015625e-07
krna	-1.64934270685535e-08	1.1920928955078125e-07
padta	-0.004158940631896257	0.004159271717071533
hai	-3.264440806560742e-08	0.00010859966278076172
notebandi	1.20501691958097e-10	-9.664498534789345e-09
ka	3.3219919870486336e-11	-9.86825909876643e-08
niyam	1.0046088960713462e-11	1.0074991507735831e-08
:	-2.3872071324149147e-05	-3.9810579721688555e-08
khata	-2.523819209176992e-10	-1.3577293884736719e-06
nahi	2.3394820802824512e-11	-9.93862130371781e-08
hai	3.416066041150856e-11	-0.0032351126428693533
to	-6.935154672760291e-10	-1.8278445423902667e-09
khulwao.	-8.339839929760728e-11	-1.0931330507446546e-07
aam	1.1431569579833933e-10	1.3029604062353428e-08
aadmi	1.0332833200177305e-10	1.3142839705437837e-08
:	-5.722882612246849e-09	-1.3044443676335504e-06
khulwa	-5.98750493630007e-11	-1.561388529580654e-08
to	4.7577636275164537e-11	-2.5478929188693655e-08
lun.	1.476375965925314e-11	8.553496577690112e-09
par	-7.313021299637512e-10	-2.3275384819498868e-07
bhai	-1.6898487054106681e-09	-3.1615596185474715e-07
bank	-3.689430705389185e-10	-2.1292638763270588e-08
main	-1.9767272263493396e-09	-8.614692603714502e-08
ghusun	-9.721267124618294e-10	-1.871948640541632e-08
kasey	-1.0400935668286593e-10	8.220283120863314e-09
?	-2.2018271295110026e-07	1.1129116295194308e-08
barbeed	-9.420484161637432e-07	-9.420202218279883e-07
hui	-8.062987762968987e-05	-0.006233895197510719
nasbandi	-8.326565875904635e-06	-6.39217541902326e-05
karwa	-1.841188606022115e-07	-5.746676947637752e-07
ke	3.901871536982071e-08	-2.232988265404856e-07
barbaad	-0.00010118272621184587	-4.542849274002947e-05
ho	-2.04953053639656e-07	6.442263611461385e-09
raha	1.0928766869255924e-07	1.0602580857721478e-07
hai	1.050695317417194e-07	1.045153794621001e-07
karwa	4.802510744639221e-08	-1.786598033959308e-07
ke	7.077900932017656e-08	-5.4795073367586156e-08
ye	-1.9451081243460067e-06	-4.0571108002041e-06
rumour	-1.670527308306191e-05	-1.5495191973968758e-07
vhi	6.288845270319143e-06	2.2899780560692307e-07
failla	-9.039735596161336e-05	-6.280156958382577e-05
rhe	-3.572494460968301e-05	-3.3435850355090224e-07
hain	-0.00014101044507697225	1.7622107861825498e-07
jinhe	-3.87070031138137e-05	-1.783183506631758e-06
-	-1.2867520126746967e-05	-4.536962592283089e-07
notebandi	-0.0006927495123818517	-8.566770702600479e-05
se	-6.0834092437289655e-05	-3.8804500945843756e-08
pareshan	-1.4848772480036132e-05	3.756161959245219e-07
hain.	-0.0002631845709402114	-6.965095167288382e-07
://twitter.com/raydeep/status/	7.69344114814885e-06	4.2305862280045403e-07
…	4.751198048325023e-06	-1.1525953595992178e-06
ye	-9.80120064969503e-13	0.0
notebandi	-6.04774494372684e-11	6.67572021484375e-06
