config,weighted_f1,macro_f1
"{'text_max_len': 30, 'char_max_len': 25, 'word_char_max_len': 20, 'n_units': 128, 'emb_dim': 128, 'n_layers': 2, 'epochs': 500, 'learning_rate': 0.001, 'model_name': 'Transformer', 'loss': 'ce', 'use_features': False}",0.8590832359775130,0.8129084205033570
"{'text_max_len': 30, 'char_max_len': 50, 'word_char_max_len': 20, 'n_units': 128, 'emb_dim': 128, 'n_layers': 2, 'epochs': 500, 'learning_rate': 0.001, 'model_name': 'Transformer', 'loss': 'ce', 'use_features': False}",0.9034970851312120,0.8659666520988250
"{'text_max_len': 30, 'char_max_len': 100, 'word_char_max_len': 20, 'n_units': 128, 'emb_dim': 128, 'n_layers': 2, 'epochs': 500, 'learning_rate': 0.001, 'model_name': 'Transformer', 'loss': 'ce', 'use_features': False}",0.8891952579086950,0.8612011334286220
"{'text_max_len': 30, 'char_max_len': 200, 'word_char_max_len': 20, 'n_units': 128, 'emb_dim': 128, 'n_layers': 2, 'epochs': 500, 'learning_rate': 0.001, 'model_name': 'Transformer', 'loss': 'ce', 'use_features': False}",0.8792459949742830,0.8379561999087370
"{'text_max_len': 10, 'char_max_len': 100, 'word_char_max_len': 20, 'n_units': 128, 'emb_dim': 128, 'n_layers': 2, 'epochs': 500, 'learning_rate': 0.001, 'model_name': 'HAN', 'loss': 'ce', 'use_features': False}",0.8582595455598340,0.8260379115759880
"{'text_max_len': 25, 'char_max_len': 100, 'word_char_max_len': 20, 'n_units': 128, 'emb_dim': 128, 'n_layers': 2, 'epochs': 500, 'learning_rate': 0.001, 'model_name': 'HAN', 'loss': 'ce', 'use_features': False}",0.8752659878110040,0.821098662329813
"{'text_max_len': 50, 'char_max_len': 100, 'word_char_max_len': 20, 'n_units': 128, 'emb_dim': 128, 'n_layers': 2, 'epochs': 500, 'learning_rate': 0.001, 'model_name': 'HAN', 'loss': 'ce', 'use_features': False}",0.9025249704609220,0.8681183624573290
"{'text_max_len': 100, 'char_max_len': 100, 'word_char_max_len': 20, 'n_units': 128, 'emb_dim': 128, 'n_layers': 2, 'epochs': 500, 'learning_rate': 0.001, 'model_name': 'HAN', 'loss': 'ce', 'use_features': False}",0.889542378828129,0.845551601423488
"{'text_max_len': 30, 'char_max_len': 100, 'word_char_max_len': 5, 'n_units': 128, 'emb_dim': 128, 'n_layers': 2, 'epochs': 500, 'learning_rate': 0.001, 'model_name': 'HAN', 'loss': 'ce', 'use_features': False}",0.8849594463923560,0.8416388548039970
"{'text_max_len': 30, 'char_max_len': 100, 'word_char_max_len': 10, 'n_units': 128, 'emb_dim': 128, 'n_layers': 2, 'epochs': 500, 'learning_rate': 0.001, 'model_name': 'HAN', 'loss': 'ce', 'use_features': False}",0.8825471917204080,0.8396032643333210
"{'text_max_len': 30, 'char_max_len': 100, 'word_char_max_len': 25, 'n_units': 128, 'emb_dim': 128, 'n_layers': 2, 'epochs': 500, 'learning_rate': 0.001, 'model_name': 'HAN', 'loss': 'ce', 'use_features': False}",0.9023870983624870,0.8664668879596440
"{'text_max_len': 10, 'char_max_len': 100, 'word_char_max_len': 20, 'n_units': 128, 'emb_dim': 128, 'n_layers': 2, 'epochs': 500, 'learning_rate': 0.001, 'model_name': 'WLSTM', 'loss': 'ce', 'use_features': False}",0.8882301589475730,0.8560033210283280
"{'text_max_len': 25, 'char_max_len': 100, 'word_char_max_len': 20, 'n_units': 128, 'emb_dim': 128, 'n_layers': 2, 'epochs': 500, 'learning_rate': 0.001, 'model_name': 'WLSTM', 'loss': 'ce', 'use_features': False}",0.8809822571794400,0.8372655122655120
"{'text_max_len': 50, 'char_max_len': 100, 'word_char_max_len': 20, 'n_units': 128, 'emb_dim': 128, 'n_layers': 2, 'epochs': 500, 'learning_rate': 0.001, 'model_name': 'WLSTM', 'loss': 'ce', 'use_features': False}",0.8925662576135690,0.8569422230199760
"{'text_max_len': 100, 'char_max_len': 100, 'word_char_max_len': 20, 'n_units': 128, 'emb_dim': 128, 'n_layers': 2, 'epochs': 500, 'learning_rate': 0.001, 'model_name': 'WLSTM', 'loss': 'ce', 'use_features': False}",0.8640788746753490,0.8227209266103110
