config,weighted_f1,macro_f1
"{'text_max_len': 30, 'char_max_len': 150, 'word_char_max_len': 20, 'n_units': 128, 'emb_dim': 128, 'n_layers': 2, 'epochs': 500, 'learning_rate': 0.001, 'model_name': 'Transformer', 'loss': 'focal', 'use_features': True}",0.9113294256329640,0.8702217441112440
"{'text_max_len': 30, 'char_max_len': 100, 'word_char_max_len': 20, 'n_units': 128, 'emb_dim': 128, 'n_layers': 2, 'epochs': 50, 'learning_rate': 3e-05, 'model_name': 'BERT', 'loss': 'ce', 'use_features': False}",0.905781246,0.853933282
"{'text_max_len': 30, 'char_max_len': 150, 'word_char_max_len': 20, 'n_units': 128, 'emb_dim': 128, 'n_layers': 2, 'epochs': 500, 'learning_rate': 0.001, 'model_name': 'CMSA', 'loss': 'focal', 'use_features': True}",0.9002303418620470,0.868097771023303
"{'text_max_len': 30, 'char_max_len': 150, 'word_char_max_len': 20, 'n_units': 128, 'emb_dim': 128, 'n_layers': 2, 'epochs': 500, 'learning_rate': 0.001, 'model_name': 'CS_ELMO_without_words', 'loss': 'ce', 'use_features': True}",0.8980676690069530,0.8536616058812650
"{'text_max_len': 30, 'char_max_len': 150, 'word_char_max_len': 20, 'n_units': 128, 'emb_dim': 128, 'n_layers': 2, 'epochs': 500, 'learning_rate': 0.001, 'model_name': 'HAN', 'loss': 'ce', 'use_features': True}",0.8980349885597170,0.856362887263277
"{'text_max_len': 30, 'char_max_len': 150, 'word_char_max_len': 20, 'n_units': 128, 'emb_dim': 128, 'n_layers': 2, 'epochs': 500, 'learning_rate': 0.001, 'model_name': 'HAN', 'loss': 'focal', 'use_features': True}",0.8979235932777080,0.8534226430493310
"{'text_max_len': 30, 'char_max_len': 150, 'word_char_max_len': 20, 'n_units': 128, 'emb_dim': 128, 'n_layers': 2, 'epochs': 500, 'learning_rate': 0.001, 'model_name': 'Transformer', 'loss': 'focal', 'use_features': False}",0.8977843710483490,0.8785636575178360
"{'text_max_len': 30, 'char_max_len': 150, 'word_char_max_len': 20, 'n_units': 128, 'emb_dim': 128, 'n_layers': 2, 'epochs': 500, 'learning_rate': 0.001, 'model_name': 'CMSA', 'loss': 'ce', 'use_features': True}",0.8976205953670740,0.8519739519739520
"{'text_max_len': 30, 'char_max_len': 100, 'word_char_max_len': 20, 'n_units': 128, 'emb_dim': 128, 'n_layers': 2, 'epochs': 50, 'learning_rate': 3e-05, 'model_name': 'BERT', 'loss': 'ce', 'use_features': True}",0.8975779913,0.8577056991
"{'text_max_len': 30, 'char_max_len': 150, 'word_char_max_len': 20, 'n_units': 128, 'emb_dim': 128, 'n_layers': 2, 'epochs': 500, 'learning_rate': 0.001, 'model_name': 'Transformer', 'loss': 'ce', 'use_features': True}",0.89610452207762,0.8776539353160690
"{'text_max_len': 30, 'char_max_len': 150, 'word_char_max_len': 20, 'n_units': 128, 'emb_dim': 128, 'n_layers': 2, 'epochs': 500, 'learning_rate': 0.001, 'model_name': 'CS_ELMO_without_words', 'loss': 'focal', 'use_features': True}",0.8951416036069930,0.855447702562283
"{'text_max_len': 30, 'char_max_len': 150, 'word_char_max_len': 20, 'n_units': 128, 'emb_dim': 128, 'n_layers': 2, 'epochs': 500, 'learning_rate': 0.001, 'model_name': 'CS_ELMO_without_words', 'loss': 'ce', 'use_features': False}",0.8834670677086460,0.8404658583696590
"{'text_max_len': 30, 'char_max_len': 150, 'word_char_max_len': 20, 'n_units': 128, 'emb_dim': 128, 'n_layers': 2, 'epochs': 500, 'learning_rate': 0.001, 'model_name': 'HAN', 'loss': 'focal', 'use_features': False}",0.8825271920820970,0.8378251136520180
"{'text_max_len': 30, 'char_max_len': 150, 'word_char_max_len': 20, 'n_units': 128, 'emb_dim': 128, 'n_layers': 2, 'epochs': 500, 'learning_rate': 0.001, 'model_name': 'HAN', 'loss': 'ce', 'use_features': False}",0.8807144327687300,0.8329947665161440
"{'text_max_len': 30, 'char_max_len': 150, 'word_char_max_len': 20, 'n_units': 128, 'emb_dim': 128, 'n_layers': 2, 'epochs': 500, 'learning_rate': 0.001, 'model_name': 'Transformer', 'loss': 'ce', 'use_features': False}",0.8779499405225320,0.812736044963533
"{'text_max_len': 30, 'char_max_len': 150, 'word_char_max_len': 20, 'n_units': 128, 'emb_dim': 128, 'n_layers': 2, 'epochs': 500, 'learning_rate': 0.001, 'model_name': 'CMSA', 'loss': 'focal', 'use_features': False}",0.8737438961827060,0.8240281177171220
"{'text_max_len': 30, 'char_max_len': 150, 'word_char_max_len': 20, 'n_units': 128, 'emb_dim': 128, 'n_layers': 2, 'epochs': 500, 'learning_rate': 0.001, 'model_name': 'CMSA', 'loss': 'ce', 'use_features': False}",0.8699380407753000,0.8176985354990070
"{'text_max_len': 30, 'char_max_len': 150, 'word_char_max_len': 20, 'n_units': 128, 'emb_dim': 128, 'n_layers': 2, 'epochs': 500, 'learning_rate': 0.001, 'model_name': 'CS_ELMO_without_words', 'loss': 'focal', 'use_features': False}",0.869826241833284,0.8188335787020000
